byte_offset,nanoseconds
1,810089105
2,860110541
3,803190505
4,849390310
5,795721280
6,853979510
7,815921985
8,861522522
9,876639453
10,805348110
11,840142144
12,813804390
13,846906257
14,859596272
15,827804406
16,865333895
17,854730449
18,811312529
19,785944010
20,830979617
21,819608648
22,783341695
23,809685352
24,794720426
25,829377265
26,787211904
27,826654766
28,789426058
29,808222168
30,800523020
31,788646020
32,832915659
33,789611024
34,842224405
35,790832118
36,823407162
37,782235127
38,816462275
39,802437619
40,861929179
41,799314698
42,844125977
43,813726181
44,863492703
45,815441247
46,864066472
47,812576883
48,860371882
49,810317891
50,813902939
51,866836534
52,875264690
53,807979421
54,870011403
55,807857581
56,848784987
57,868223029
58,814374201
59,861330068
60,815369353
61,869522155
62,794975856
63,861235303
64,132372954
65,130436487
66,131543631
67,132079771
68,132942890
69,130337592
70,143416331
71,129078259
72,128018717
73,127376742
74,131351891
75,130975610
76,142644431
77,129610307
78,135816617
79,132573661
80,132126470
81,128771911
82,128069964
83,131513429
84,134109987
85,126735361
86,134003944
87,136864776
88,129987465
89,131841057
90,127894296
91,128254915
92,129817379
93,134410298
94,130157853
95,134895247
96,134516701
97,127881236
98,132737842
99,144362505
100,134898022
101,130206194
102,129977569
103,130243044
104,129702843
105,127263565
106,137044711
107,129346499
108,127758143
109,133143665
110,129855240
111,130052415
112,136371998
113,131891229
114,128950913
115,134180971
116,132452528
117,133685729
118,134877047
119,132588686
120,126614107
121,129674344
122,138118640
123,128868211
124,134078592
125,128754773
126,137722789
127,128083868
